nome_uo,descricao_uo
ADVOCACIA-GERAL DO ESTADO,ADVOCACIA-GERAL DO ESTADO - AGE
AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE,AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE - ARMBH
ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS,ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS - ALMG
COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG,COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG - COPASA
COORDENADORIA DE APOIO E ASSISTENCIA A PESSOA DEFICIENTE,COORDENADORIA DE APOIO E ASSISTENCIA A PESSOA DEFICIENTE - CAAD
CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS,CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS - CBMMG
CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS,CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS - CBMMG
DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS,DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS - DPMG
DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS,DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS - DEER
DEPARTAMENTO DE ESTRADAS DE RODAGEM DO EST DE M GERAIS,DEPARTAMENTO DE ESTRADAS DE RODAGEM DO EST DE M GERAIS - DER
DEPARTAMENTO DE OBRAS PUBLICAS DO ESTADO DE M. G.,DEPARTAMENTO DE OBRAS PUBLICAS DO ESTADO DE MINAS GERAIS - DEOP
DEPARTAMENTO DE OBRAS PUBLICAS DO ESTADO DE MINAS GERAIS,DEPARTAMENTO DE OBRAS PUBLICAS DO ESTADO DE MINAS GERAIS - DEOP
EGE SEC.FAZENDA-ENCARGOS DIVERSOS,EGE SEC.FAZENDA-ENCARGOS DIVERSOS - SEF
EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS,EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS - EMATER-MG
EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS - EMATER-MG,EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS - EMATER-MG
EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS,EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS - EPAMIG
EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS - EPAMIG,EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS - EPAMIG
ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS,ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS - ESP
ESCRITORIO DE PRIORIDADES ESTRATEGICAS,ESCRITORIO DE PRIORIDADES ESTRATEGICAS
FUND CENTRO HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS,FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS - HEMOMINAS
FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS,FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS - HEMOMINAS
"FUNDACAO CENTRO INTERNACIONAL DE EDUCACAO, CAPACITACAO E PESQUISA APLICADA EM AGUAS","FUNDACAO CENTRO INTERNACIONAL DE EDUCACAO, CAPACITACAO E PESQUISA APLICADA EM AGUAS - HIDROEX"
FUNDACAO CENTRO TECNOLOGICO DE MINAS GERAIS,FUNDACAO CENTRO TECNOLOGICO DE MINAS GERAIS - CETEC
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG
FUNDACAO DE ARTE DE OURO PRETO,FUNDACAO DE ARTE DE OURO PRETO - FAOP
FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS,FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS - UTRAMIG
FUNDACAO EDUCACIONAL CAIO MARTINS,FUNDACAO EDUCACIONAL CAIO MARTINS - FUCAM
FUNDACAO ESTADUAL DO MEIO AMBIENTE,FUNDACAO ESTADUAL DO MEIO AMBIENTE - FEAM
FUNDACAO EZEQUIEL DIAS,FUNDACAO EZEQUIEL DIAS - FUNED
FUNDACAO HELENA ANTIPOFF,FUNDACAO HELENA ANTIPOFF - FHA
FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS,FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS - FHEMIG
FUNDACAO JOAO PINHEIRO,FUNDACAO JOAO PINHEIRO - FJP
FUNDACAO RURAL MINEIRA,FUNDACAO RURAL MINEIRA - RURALMINAS
FUNDACAO RURAL MINEIRA - RURALMINAS,FUNDACAO RURAL MINEIRA - RURALMINAS
FUNDACAO TV MINAS CULTURAL E EDUCATIVA,FUNDACAO TV MINAS CULTURAL E EDUCATIVA - TV MINAS
FUNDO ESTADUAL DE ASSISTENCIA SOCIAL,FUNDO ESTADUAL DE ASSISTENCIA SOCIAL - FEAS
FUNDO ESTADUAL DE HABITACAO,FUNDO ESTADUAL DE HABITACAO - FEH
"FUNDO ESTADUAL DE PREVENCAO, FISCALIZACAO E REPRESSAO DE ENTORPECENTES","FUNDO ESTADUAL DE PREVENCAO, FISCALIZACAO E REPRESSAO DE ENTORPECENTES - FUNPREN"
FUNDO ESTADUAL DE SAUDE,FUNDO ESTADUAL DE SAUDE - FES
FUNDO PARA A INFANCIA E A ADOLESCENCIA,FUNDO PARA A INFANCIA E A ADOLESCENCIA - FIA
FUNDO PENITENCIARIO ESTADUAL,FUNDO PENITENCIARIO ESTADUAL - FPE
GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS,GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS - GMG
INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS,INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS - IDENE
INSTITUTO DE GEOINFORMACAO  E TECNOLOGIA,INSTITUTO DE GEOINFORMACAO  E TECNOLOGIA - IGTEC
INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS,INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS - IPEM
INSTITUTO DE TERRAS DO ESTADO DE MINAS GERAIS,INSTITUTO DE TERRAS DO ESTADO DE MINAS GERAIS - ITER
INSTITUTO ESTADUAL DE FLORESTAS,INSTITUTO ESTADUAL DE FLORESTAS - IEF
