codigo_uo,nome_uo
1081,1081 - ADVOCACIA-GERAL DO ESTADO
2431,2431 - AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE
2461,2461 - AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO
2441,2441 - AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA
1502,1502 - CIDADE ADMINISTRATIVA
1521,1521 - CONTROLADORIA-GERAL DO ESTADO
1401,1401 - CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS
2301,2301 - DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS
1551,1551 - DEPARTAMENTO DE TRANSITO DE MINAS GERAIS
1911,1911 - EGE SEC.FAZENDA-ENCARGOS DIVERSOS
1941,1941 - EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO
3041,3041 - EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS
3051,3051 - EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS
3151,3151 - EMPRESA MINEIRA DE COMUNICACAO
1541,1541 - ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS
2321,2321 - FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS
2181,2181 - FUNDACAO CLOVIS SALGADO
2071,2071 - FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS
2171,2171 - FUNDACAO DE ARTE DE OURO PRETO
2281,2281 - FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS
2161,2161 - FUNDACAO EDUCACIONAL CAIO MARTINS
2091,2091 - FUNDACAO ESTADUAL DO MEIO AMBIENTE
2261,2261 - FUNDACAO EZEQUIEL DIAS
2151,2151 - FUNDACAO HELENA ANTIPOFF
2271,2271 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS
2061,2061 - FUNDACAO JOAO PINHEIRO
2211,2211 - FUNDACAO TV MINAS CULTURAL E EDUCATIVA
4541,4541 - FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS
4551,4551 - FUNDO DE ASSISTENCIA AO PECULIO DOS SERVIDORES DO ESTADO DE MINAS GERAIS
4151,4151 - FUNDO DE ASSISTENCIA AO TURISMO
4661,4661 - FUNDO DE ATIVOS IMOBILIARIOS DE MINAS GERAIS
4331,4331 - FUNDO DE DESENVOLVIMENTO METROPOLITANO
4111,4111 - FUNDO DE FOMENTO E DESENVOLVIMENTO SOCIOECONOMICO DO ESTADO DE MINAS GERAIS
4641,4641 - FUNDO DE GARANTIAS DE PARCERIAS PUBLICO-PRIVADAS DE MINAS GERAIS
4531,4531 - FUNDO DE INCENTIVO A INOVACAO TECNOLOGICA
4621,4621 - FUNDO DE INVESTIMENTO DO ESTADO DE MINAS GERAIS
4671,4671 - FUNDO DE INVESTIMENTOS IMOBILIARIOS DE MINAS GERAIS
4631,4631 - FUNDO DE PAGAMENTO DE PARCERIAS PUBLICO-PRIVADAS DE MINAS GERAIS
4341,4341 - FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M
4651,4651 - FUNDO ESPECIAL DE CREDITOS INADIMPLIDOS E DIVIDA ATIVA
4251,4251 - FUNDO ESTADUAL DE ASSISTENCIA SOCIAL
4491,4491 - FUNDO ESTADUAL DE CULTURA
4421,4421 - FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS
4381,4381 - FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES
4101,4101 - FUNDO ESTADUAL DE HABITACAO
4321,4321 - FUNDO ESTADUAL DE PREVENCAO, FISCALIZACAO E REPRESSAO DE ENTORPECENTES
4291,4291 - FUNDO ESTADUAL DE SAUDE
4581,4581 - FUNDO ESTADUAL DO CAFE
4601,4601 - FUNDO ESTADUAL DOS DIREITOS DO IDOSO
4461,4461 - FUNDO FINANCEIRO DE PREVIDENCIA
4091,4091 - FUNDO PARA A INFANCIA E A ADOLESCENCIA
4141,4141 - FUNDO PENITENCIARIO ESTADUAL
1071,1071 - GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS
1916,1916 - GESTAO DA DIVIDA PUBLICA ESTADUAL
2421,2421 - INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS
2331,2331 - INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS
2011,2011 - INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS
2121,2121 - INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS
2101,2101 - INSTITUTO ESTADUAL DE FLORESTAS
2201,2201 - INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS
2371,2371 - INSTITUTO MINEIRO DE AGROPECUARIA
2241,2241 - INSTITUTO MINEIRO DE GESTAO DAS AGUAS
2251,2251 - JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS
2041,2041 - LOTERIA DO ESTADO DE MINAS GERAIS
1101,1101 - OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS
1915,1915 - PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS
1511,1511 - POLICIA CIVIL DO ESTADO DE MINAS GERAIS
1251,1251 - POLICIA MILITAR DO ESTADO DE MINAS GERAIS
1991,1991 - RESERVA DE CONTINGENCIA
1301,1301 - SECRETARIA DE ESTADO  DE TRANSPORTES  E OBRAS PUBLICAS
1451,1451 - SECRETARIA DE ESTADO DE ADMINISTRACAO PRISIONAL
1231,1231 - SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO
1571,1571 - SECRETARIA DE ESTADO DE CASA CIVIL E DE RELACOES INSTITUCIONAIS
1471,1471 - SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL
1271,1271 - SECRETARIA DE ESTADO DE CULTURA
1641,1641 - SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO
1591,1591 - SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS
1221,1221 - SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO, CIENCIA, TECNOLOGIA E ENSINO SUPERIOR
1651,1651 - SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA
1261,1261 - SECRETARIA DE ESTADO DE EDUCACAO
1671,1671 - SECRETARIA DE ESTADO DE ESPORTES
1191,1191 - SECRETARIA DE ESTADO DE FAZENDA
1491,1491 - SECRETARIA DE ESTADO DE GOVERNO
1371,1371 - SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL
1501,1501 - SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO
1691,1691 - SECRETARIA DE ESTADO DE SEGURANCA PUBLICA
1481,1481 - SECRETARIA DE ESTADO DE TRABALHO E DESENVOLVIMENTO SOCIAL
1411,1411 - SECRETARIA DE ESTADO DE TURISMO
1631,1631 - SECRETARIA-GERAL
2351,2351 - UNIVERSIDADE DO ESTADO DE MINAS GERAIS
2311,2311 - UNIVERSIDADE ESTADUAL DE MONTES CLAROS
2381,2381 - DEPARTAMENTO ESTADUAL DE TELECOMUNICACOES DE MINAS GERAIS
1701,1701 - SECRETARIA DE ESTADO EXTRAORDINARIA DE DESENVOLVIMENTO INTEGRADO E FORUNS REGIONAIS
1111,1111 - ESCRITORIO DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS EM BRASILIA
1121,1121 - SECRETARIA DE ESTADO DA CASA CIVIL DO ESTADO DE MINAS GERAIS
1141,1141 - ESCRITORIO DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS NO RIO DE JANEIRO
1161,1161 - ESCRITORIO  DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS EM SAO PAULO
